init 10000
put 304 1520
put 305 1525
put 306 1530
put 307 1535
put 308 1540
put 309 1545
put 310 1550
put 311 1555
put 312 1560
put 313 1565
put 314 1570
put 315 1575
put 316 1580
put 317 1585
put 318 1590
put 319 1595
put 320 1600
put 321 1605
put 322 1610
put 323 1615
put 324 1620
put 325 1625
put 326 1630
put 327 1635
put 328 1640
put 329 1645
put 330 1650
put 331 1655
put 332 1660
put 333 1665
put 334 1670
put 335 1675
put 336 1680
put 337 1685
put 338 1690
put 339 1695
put 340 1700
put 341 1705
put 342 1710
put 343 1715
put 344 1720
put 345 1725
put 346 1730
put 347 1735
put 348 1740
put 349 1745
put 350 1750
put 351 1755
put 352 1760
put 353 1765
put 354 1770
put 355 1775
put 356 1780
put 357 1785
put 358 1790
put 359 1795
put 360 1800
put 361 1805
put 362 1810
put 363 1815
put 364 1820
put 365 1825
put 366 1830
put 367 1835
put 368 1840
put 369 1845
put 370 1850
put 371 1855
put 372 1860
put 373 1865
put 374 1870
put 375 1875
put 376 1880
put 377 1885
put 378 1890
put 379 1895
put 380 1900
put 381 1905
put 382 1910
put 383 1915
put 384 1920
put 385 1925
put 386 1930
put 387 1935
put 388 1940
put 389 1945
put 390 1950
put 391 1955
put 392 1960
put 393 1965
put 394 1970
put 395 1975
put 396 1980
put 397 1985
put 398 1990
put 399 1995
put 400 2000
put 401 2005
put 402 2010
put 403 2015
put 404 2020
put 405 2025
put 406 2030
put 407 2035
put 408 2040
put 409 2045
put 410 2050
put 411 2055
put 412 2060
put 413 2065
put 414 2070
put 415 2075
put 416 2080
put 417 2085
put 418 2090
put 419 2095
put 420 2100
put 421 2105
put 422 2110
put 423 2115
put 424 2120
put 425 2125
put 426 2130
put 427 2135
put 428 2140
put 429 2145
put 430 2150
put 431 2155
put 432 2160
put 433 2165
put 434 2170
put 435 2175
put 436 2180
put 437 2185
put 438 2190
put 439 2195
put 440 2200
put 441 2205
put 442 2210
put 443 2215
put 444 2220
put 445 2225
put 446 2230
put 447 2235
put 448 2240
put 449 2245
put 450 2250
put 451 2255
put 452 2260
put 453 2265
put 454 2270
put 455 2275
put 456 2280
put 457 2285
put 458 2290
put 459 2295
put 460 2300
put 461 2305
put 462 2310
put 463 2315
put 464 2320
put 465 2325
put 466 2330
put 467 2335
put 468 2340
put 469 2345
put 470 2350
put 471 2355
put 472 2360
put 473 2365
put 474 2370
put 475 2375
put 476 2380
put 477 2385
put 478 2390
put 479 2395
put 480 2400
put 481 2405
put 482 2410
put 483 2415
put 484 2420
put 485 2425
put 486 2430
put 487 2435
put 488 2440
put 489 2445
put 490 2450
put 491 2455
put 492 2460
put 493 2465
put 494 2470
put 495 2475
put 496 2480
put 497 2485
put 498 2490
put 499 2495
put 500 2500
put 501 2505
put 502 2510
put 503 2515
put 504 2520
put 505 2525
put 506 2530
put 507 2535
put 508 2540
put 509 2545
put 510 2550
put 511 2555
put 512 2560
put 513 2565
put 514 2570
put 515 2575
put 516 2580
put 517 2585
put 518 2590
put 519 2595
put 520 2600
put 521 2605
put 522 2610
put 523 2615
put 524 2620
put 525 2625
put 526 2630
put 527 2635
put 528 2640
put 529 2645
put 530 2650
put 531 2655
put 532 2660
put 533 2665
put 534 2670
put 535 2675
put 536 2680
put 537 2685
put 538 2690
put 539 2695
put 540 2700
put 541 2705
put 542 2710
put 543 2715
put 544 2720
put 545 2725
put 546 2730
put 547 2735
put 548 2740
put 549 2745
put 550 2750
put 551 2755
put 552 2760
put 553 2765
put 554 2770
put 555 2775
put 556 2780
put 557 2785
put 558 2790
put 559 2795
put 560 2800
put 561 2805
put 562 2810
put 563 2815
put 564 2820
put 565 2825
put 566 2830
put 567 2835
put 568 2840
put 569 2845
put 570 2850
put 571 2855
put 572 2860
put 573 2865
put 574 2870
put 575 2875
put 576 2880
put 577 2885
put 578 2890
put 579 2895
put 580 2900
put 581 2905
put 582 2910
put 583 2915
put 584 2920
put 585 2925
put 586 2930
put 587 2935
put 588 2940
put 589 2945
put 590 2950
put 591 2955
put 592 2960
put 593 2965
put 594 2970
put 595 2975
put 596 2980
put 597 2985
put 598 2990
put 599 2995
put 600 3000
put 601 3005
put 602 3010
put 603 3015
put 604 3020
put 605 3025
put 606 3030
put 607 3035
put 608 3040
put 609 3045
put 610 3050
put 611 3055
put 612 3060
put 613 3065
put 614 3070
put 615 3075
put 616 3080
put 617 3085
put 618 3090
put 619 3095
put 620 3100
put 621 3105
put 622 3110
put 623 3115
put 624 3120
put 625 3125
put 626 3130
put 627 3135
put 628 3140
put 629 3145
put 630 3150
put 631 3155
put 632 3160
put 633 3165
put 634 3170
put 635 3175
put 636 3180
put 637 3185
put 638 3190
put 639 3195
put 640 3200
put 641 3205
put 642 3210
put 643 3215
put 644 3220
put 645 3225
put 646 3230
put 647 3235
put 648 3240
put 649 3245
put 650 3250
put 651 3255
put 652 3260
put 653 3265
put 654 3270
put 655 3275
put 656 3280
put 657 3285
put 658 3290
put 659 3295
put 660 3300
put 661 3305
put 662 3310
put 663 3315
put 664 3320
put 665 3325
put 666 3330
put 667 3335
put 668 3340
put 669 3345
put 670 3350
put 671 3355
put 672 3360
put 673 3365
put 674 3370
put 675 3375
put 676 3380
put 677 3385
put 678 3390
put 679 3395
put 680 3400
put 681 3405
put 682 3410
put 683 3415
put 684 3420
put 685 3425
put 686 3430
put 687 3435
put 688 3440
put 689 3445
put 690 3450
put 691 3455
put 692 3460
put 693 3465
put 694 3470
put 695 3475
put 696 3480
put 697 3485
put 698 3490
put 699 3495
put 700 3500
put 701 3505
put 702 3510
put 703 3515
put 704 3520
put 705 3525
put 706 3530
put 707 3535
put 708 3540
put 709 3545
put 710 3550
put 711 3555
put 712 3560
put 713 3565
put 714 3570
put 715 3575
put 716 3580
put 717 3585
put 718 3590
put 719 3595
put 720 3600
put 721 3605
put 722 3610
put 723 3615
put 724 3620
put 725 3625
put 726 3630
put 727 3635
put 728 3640
put 729 3645
put 730 3650
put 731 3655
put 732 3660
put 733 3665
put 734 3670
put 735 3675
put 736 3680
put 737 3685
put 738 3690
put 739 3695
put 740 3700
put 741 3705
put 742 3710
put 743 3715
put 744 3720
put 745 3725
put 746 3730
put 747 3735
put 748 3740
put 749 3745
put 750 3750
put 751 3755
put 752 3760
put 753 3765
put 754 3770
put 755 3775
put 756 3780
put 757 3785
put 758 3790
put 759 3795
put 760 3800
put 761 3805
put 762 3810
put 763 3815
put 764 3820
put 765 3825
put 766 3830
put 767 3835
put 768 3840
put 769 3845
put 770 3850
put 771 3855
put 772 3860
put 773 3865
put 774 3870
put 775 3875
put 776 3880
put 777 3885
put 778 3890
put 779 3895
put 780 3900
put 781 3905
put 782 3910
put 783 3915
put 784 3920
put 785 3925
put 786 3930
put 787 3935
put 788 3940
put 789 3945
put 790 3950
put 791 3955
put 792 3960
put 793 3965
put 794 3970
put 795 3975
put 796 3980
put 797 3985
put 798 3990
put 799 3995
put 800 4000
put 801 4005
put 802 4010
put 803 4015
put 804 4020
put 805 4025
put 806 4030
put 807 4035
put 808 4040
put 809 4045
put 810 4050
put 811 4055
put 812 4060
put 813 4065
put 814 4070
put 815 4075
put 816 4080
put 817 4085
put 818 4090
put 819 4095
put 820 4100
put 821 4105
put 822 4110
put 823 4115
put 824 4120
put 825 4125
put 826 4130
put 827 4135
put 828 4140
put 829 4145
put 830 4150
put 831 4155
put 832 4160
put 833 4165
put 834 4170
put 835 4175
put 836 4180
put 837 4185
put 838 4190
put 839 4195
put 840 4200
put 841 4205
put 842 4210
put 843 4215
put 844 4220
put 845 4225
put 846 4230
put 847 4235
put 848 4240
put 849 4245
put 850 4250
put 851 4255
put 852 4260
put 853 4265
put 854 4270
put 855 4275
put 856 4280
put 857 4285
put 858 4290
put 859 4295
put 860 4300
put 861 4305
put 862 4310
put 863 4315
put 864 4320
put 865 4325
put 866 4330
put 867 4335
put 868 4340
put 869 4345
put 870 4350
put 871 4355
put 872 4360
put 873 4365
put 874 4370
put 875 4375
put 876 4380
put 877 4385
put 878 4390
put 879 4395
put 880 4400
put 881 4405
put 882 4410
put 883 4415
put 884 4420
put 885 4425
put 886 4430
put 887 4435
put 888 4440
put 889 4445
put 890 4450
put 891 4455
put 892 4460
put 893 4465
put 894 4470
put 895 4475
put 896 4480
put 897 4485
put 898 4490
put 899 4495
put 900 4500
put 901 4505
put 902 4510
put 903 4515
put 904 4520
put 905 4525
put 906 4530
put 907 4535
put 908 4540
put 909 4545
put 910 4550
put 911 4555
put 912 4560
put 913 4565
put 914 4570
put 915 4575
put 916 4580
put 917 4585
put 918 4590
put 919 4595
put 920 4600
put 921 4605
put 922 4610
put 923 4615
put 924 4620
put 925 4625
put 926 4630
put 927 4635
put 928 4640
put 929 4645
put 930 4650
put 931 4655
put 932 4660
put 933 4665
put 934 4670
put 935 4675
put 936 4680
put 937 4685
put 938 4690
put 939 4695
put 940 4700
put 941 4705
put 942 4710
put 943 4715
put 944 4720
put 945 4725
put 946 4730
put 947 4735
put 948 4740
put 949 4745
put 950 4750
put 951 4755
put 952 4760
put 953 4765
put 954 4770
put 955 4775
put 956 4780
put 957 4785
put 958 4790
put 959 4795
put 960 4800
put 961 4805
put 962 4810
put 963 4815
put 964 4820
put 965 4825
put 966 4830
put 967 4835
put 968 4840
put 969 4845
put 970 4850
put 971 4855
put 972 4860
put 973 4865
put 974 4870
put 975 4875
put 976 4880
put 977 4885
put 978 4890
put 979 4895
put 980 4900
put 981 4905
put 982 4910
put 983 4915
put 984 4920
put 985 4925
put 986 4930
put 987 4935
put 988 4940
put 989 4945
put 990 4950
put 991 4955
put 992 4960
put 993 4965
put 994 4970
put 995 4975
put 996 4980
put 997 4985
put 998 4990
put 999 4995
put 1000 5000
put 1001 5005
put 1002 5010
put 1003 5015
put 1004 5020
put 1005 5025
put 1006 5030
put 1007 5035
put 1008 5040
put 1009 5045
put 1010 5050
put 1011 5055
put 1012 5060
put 1013 5065
put 1014 5070
put 1015 5075
put 1016 5080
put 1017 5085
put 1018 5090
put 1019 5095
put 1020 5100
put 1021 5105
put 1022 5110
put 1023 5115
put 1024 5120
put 1025 5125
put 1026 5130
put 1027 5135
put 1028 5140
put 1029 5145
put 1030 5150
put 1031 5155
put 1032 5160
put 1033 5165
put 1034 5170
put 1035 5175
put 1036 5180
put 1037 5185
put 1038 5190
put 1039 5195
put 1040 5200
put 1041 5205
put 1042 5210
put 1043 5215
put 1044 5220
put 1045 5225
put 1046 5230
put 1047 5235
put 1048 5240
put 1049 5245
put 1050 5250
put 1051 5255
put 1052 5260
put 1053 5265
put 1054 5270
put 1055 5275
put 1056 5280
put 1057 5285
put 1058 5290
put 1059 5295
put 1060 5300
put 1061 5305
put 1062 5310
put 1063 5315
put 1064 5320
put 1065 5325
put 1066 5330
put 1067 5335
put 1068 5340
put 1069 5345
put 1070 5350
put 1071 5355
put 1072 5360
put 1073 5365
put 1074 5370
put 1075 5375
put 1076 5380
put 1077 5385
put 1078 5390
put 1079 5395
put 1080 5400
put 1081 5405
put 1082 5410
put 1083 5415
put 1084 5420
put 1085 5425
put 1086 5430
put 1087 5435
put 1088 5440
put 1089 5445
put 1090 5450
put 1091 5455
put 1092 5460
put 1093 5465
put 1094 5470
put 1095 5475
put 1096 5480
put 1097 5485
put 1098 5490
put 1099 5495
put 1100 5500
put 1101 5505
put 1102 5510
put 1103 5515
put 1104 5520
put 1105 5525
put 1106 5530
put 1107 5535
put 1108 5540
put 1109 5545
put 1110 5550
put 1111 5555
put 1112 5560
put 1113 5565
put 1114 5570
put 1115 5575
put 1116 5580
put 1117 5585
put 1118 5590
put 1119 5595
put 1120 5600
put 1121 5605
put 1122 5610
put 1123 5615
put 1124 5620
put 1125 5625
put 1126 5630
put 1127 5635
put 1128 5640
put 1129 5645
put 1130 5650
put 1131 5655
put 1132 5660
put 1133 5665
put 1134 5670
put 1135 5675
put 1136 5680
put 1137 5685
put 1138 5690
put 1139 5695
put 1140 5700
put 1141 5705
put 1142 5710
put 1143 5715
put 1144 5720
put 1145 5725
put 1146 5730
put 1147 5735
put 1148 5740
put 1149 5745
put 1150 5750
put 1151 5755
put 1152 5760
put 1153 5765
put 1154 5770
put 1155 5775
put 1156 5780
put 1157 5785
put 1158 5790
put 1159 5795
put 1160 5800
put 1161 5805
put 1162 5810
put 1163 5815
put 1164 5820
put 1165 5825
put 1166 5830
put 1167 5835
put 1168 5840
put 1169 5845
put 1170 5850
put 1171 5855
put 1172 5860
put 1173 5865
put 1174 5870
put 1175 5875
put 1176 5880
put 1177 5885
put 1178 5890
put 1179 5895
put 1180 5900
put 1181 5905
put 1182 5910
put 1183 5915
put 1184 5920
put 1185 5925
put 1186 5930
put 1187 5935
put 1188 5940
put 1189 5945
put 1190 5950
put 1191 5955
put 1192 5960
put 1193 5965
put 1194 5970
put 1195 5975
put 1196 5980
put 1197 5985
put 1198 5990
put 1199 5995
put 1200 6000
put 1201 6005
put 1202 6010
put 1203 6015
put 1204 6020
put 1205 6025
put 1206 6030
put 1207 6035
put 1208 6040
put 1209 6045
put 1210 6050
put 1211 6055
put 1212 6060
put 1213 6065
put 1214 6070
put 1215 6075
put 1216 6080
put 1217 6085
put 1218 6090
put 1219 6095
put 1220 6100
put 1221 6105
put 1222 6110
put 1223 6115
put 1224 6120
put 1225 6125
put 1226 6130
put 1227 6135
put 1228 6140
put 1229 6145
put 1230 6150
put 1231 6155
put 1232 6160
put 1233 6165
put 1234 6170
put 1235 6175
put 1236 6180
put 1237 6185
put 1238 6190
put 1239 6195
put 1240 6200
put 1241 6205
put 1242 6210
put 1243 6215
put 1244 6220
put 1245 6225
put 1246 6230
put 1247 6235
put 1248 6240
put 1249 6245
put 1250 6250
put 1251 6255
put 1252 6260
put 1253 6265
put 1254 6270
put 1255 6275
put 1256 6280
put 1257 6285
put 1258 6290
put 1259 6295
put 1260 6300
put 1261 6305
put 1262 6310
put 1263 6315
put 1264 6320
put 1265 6325
put 1266 6330
put 1267 6335
put 1268 6340
put 1269 6345
put 1270 6350
put 1271 6355
put 1272 6360
put 1273 6365
put 1274 6370
put 1275 6375
put 1276 6380
put 1277 6385
put 1278 6390
put 1279 6395
put 1280 6400
put 1281 6405
put 1282 6410
put 1283 6415
put 1284 6420
put 1285 6425
put 1286 6430
put 1287 6435
put 1288 6440
put 1289 6445
put 1290 6450
put 1291 6455
put 1292 6460
put 1293 6465
put 1294 6470
put 1295 6475
put 1296 6480
put 1297 6485
put 1298 6490
put 1299 6495
put 1300 6500
put 1301 6505
put 1302 6510
put 1303 6515
put 1304 6520
put 1305 6525
put 1306 6530
put 1307 6535
put 1308 6540
put 1309 6545
put 1310 6550
put 1311 6555
put 1312 6560
put 1313 6565
put 1314 6570
put 1315 6575
put 1316 6580
put 1317 6585
put 1318 6590
put 1319 6595
put 1320 6600
put 1321 6605
put 1322 6610
put 1323 6615
put 1324 6620
put 1325 6625
put 1326 6630
put 1327 6635
put 1328 6640
put 1329 6645
put 1330 6650
put 1331 6655
put 1332 6660
put 1333 6665
put 1334 6670
put 1335 6675
put 1336 6680
put 1337 6685
put 1338 6690
put 1339 6695
put 1340 6700
put 1341 6705
put 1342 6710
put 1343 6715
put 1344 6720
put 1345 6725
put 1346 6730
put 1347 6735
put 1348 6740
put 1349 6745
put 1350 6750
put 1351 6755
put 1352 6760
put 1353 6765
put 1354 6770
put 1355 6775
put 1356 6780
put 1357 6785
put 1358 6790
put 1359 6795
put 1360 6800
put 1361 6805
put 1362 6810
put 1363 6815
put 1364 6820
put 1365 6825
put 1366 6830
put 1367 6835
put 1368 6840
put 1369 6845
put 1370 6850
put 1371 6855
put 1372 6860
put 1373 6865
put 1374 6870
put 1375 6875
put 1376 6880
put 1377 6885
put 1378 6890
put 1379 6895
put 1380 6900
put 1381 6905
put 1382 6910
put 1383 6915
put 1384 6920
put 1385 6925
put 1386 6930
put 1387 6935
put 1388 6940
put 1389 6945
put 1390 6950
put 1391 6955
put 1392 6960
put 1393 6965
put 1394 6970
put 1395 6975
put 1396 6980
put 1397 6985
put 1398 6990
put 1399 6995
put 1400 7000
put 1401 7005
put 1402 7010
put 1403 7015
put 1404 7020
put 1405 7025
put 1406 7030
put 1407 7035
put 1408 7040
put 1409 7045
put 1410 7050
put 1411 7055
put 1412 7060
put 1413 7065
put 1414 7070
put 1415 7075
put 1416 7080
put 1417 7085
put 1418 7090
put 1419 7095
put 1420 7100
put 1421 7105
put 1422 7110
put 1423 7115
put 1424 7120
put 1425 7125
put 1426 7130
put 1427 7135
put 1428 7140
put 1429 7145
put 1430 7150
put 1431 7155
put 1432 7160
put 1433 7165
put 1434 7170
put 1435 7175
put 1436 7180
put 1437 7185
put 1438 7190
put 1439 7195
put 1440 7200
put 1441 7205
put 1442 7210
put 1443 7215
put 1444 7220
put 1445 7225
put 1446 7230
put 1447 7235
put 1448 7240
put 1449 7245
put 1450 7250
put 1451 7255
put 1452 7260
put 1453 7265
put 1454 7270
put 1455 7275
put 1456 7280
put 1457 7285
put 1458 7290
put 1459 7295
put 1460 7300
put 1461 7305
put 1462 7310
put 1463 7315
put 1464 7320
put 1465 7325
put 1466 7330
put 1467 7335
put 1468 7340
put 1469 7345
put 1470 7350
put 1471 7355
put 1472 7360
put 1473 7365
put 1474 7370
put 1475 7375
put 1476 7380
put 1477 7385
put 1478 7390
put 1479 7395
put 1480 7400
put 1481 7405
put 1482 7410
put 1483 7415
put 1484 7420
put 1485 7425
put 1486 7430
put 1487 7435
put 1488 7440
put 1489 7445
put 1490 7450
put 1491 7455
put 1492 7460
put 1493 7465
put 1494 7470
put 1495 7475
put 1496 7480
put 1497 7485
put 1498 7490
put 1499 7495
put 1500 7500
put 1501 7505
put 1502 7510
put 1503 7515
put 1504 7520
put 1505 7525
put 1506 7530
put 1507 7535
put 1508 7540
put 1509 7545
put 1510 7550
put 1511 7555
put 1512 7560
put 1513 7565
put 1514 7570
put 1515 7575
put 1516 7580
put 1517 7585
put 1518 7590
put 1519 7595
put 1520 7600
put 1521 7605
put 1522 7610
put 1523 7615
put 1524 7620
put 1525 7625
put 1526 7630
put 1527 7635
put 1528 7640
put 1529 7645
put 1530 7650
put 1531 7655
put 1532 7660
put 1533 7665
put 1534 7670
put 1535 7675
put 1536 7680
put 1537 7685
put 1538 7690
put 1539 7695
put 1540 7700
put 1541 7705
put 1542 7710
put 1543 7715
put 1544 7720
put 1545 7725
put 1546 7730
put 1547 7735
put 1548 7740
put 1549 7745
put 1550 7750
put 1551 7755
put 1552 7760
put 1553 7765
put 1554 7770
put 1555 7775
put 1556 7780
put 1557 7785
put 1558 7790
put 1559 7795
put 1560 7800
put 1561 7805
put 1562 7810
put 1563 7815
put 1564 7820
put 1565 7825
put 1566 7830
put 1567 7835
put 1568 7840
put 1569 7845
put 1570 7850
put 1571 7855
put 1572 7860
put 1573 7865
put 1574 7870
put 1575 7875
put 1576 7880
put 1577 7885
put 1578 7890
put 1579 7895
put 1580 7900
put 1581 7905
put 1582 7910
put 1583 7915
put 1584 7920
put 1585 7925
put 1586 7930
put 1587 7935
put 1588 7940
put 1589 7945
put 1590 7950
put 1591 7955
put 1592 7960
put 1593 7965
put 1594 7970
put 1595 7975
put 1596 7980
put 1597 7985
put 1598 7990
put 1599 7995
put 1600 8000
put 1601 8005
put 1602 8010
put 1603 8015
put 1604 8020
put 1605 8025
put 1606 8030
put 1607 8035
put 1608 8040
put 1609 8045
put 1610 8050
put 1611 8055
put 1612 8060
put 1613 8065
put 1614 8070
put 1615 8075
put 1616 8080
put 1617 8085
put 1618 8090
put 1619 8095
put 1620 8100
put 1621 8105
put 1622 8110
put 1623 8115
put 1624 8120
put 1625 8125
put 1626 8130
put 1627 8135
put 1628 8140
put 1629 8145
put 1630 8150
put 1631 8155
put 1632 8160
put 1633 8165
put 1634 8170
put 1635 8175
put 1636 8180
put 1637 8185
put 1638 8190
put 1639 8195
put 1640 8200
put 1641 8205
put 1642 8210
put 1643 8215
put 1644 8220
put 1645 8225
put 1646 8230
put 1647 8235
put 1648 8240
put 1649 8245
put 1650 8250
put 1651 8255
put 1652 8260
put 1653 8265
put 1654 8270
put 1655 8275
put 1656 8280
put 1657 8285
put 1658 8290
put 1659 8295
put 1660 8300
put 1661 8305
put 1662 8310
put 1663 8315
put 1664 8320
put 1665 8325
put 1666 8330
put 1667 8335
put 1668 8340
put 1669 8345
put 1670 8350
put 1671 8355
put 1672 8360
put 1673 8365
put 1674 8370
put 1675 8375
put 1676 8380
put 1677 8385
put 1678 8390
put 1679 8395
put 1680 8400
put 1681 8405
put 1682 8410
put 1683 8415
put 1684 8420
put 1685 8425
put 1686 8430
put 1687 8435
put 1688 8440
put 1689 8445
put 1690 8450
put 1691 8455
put 1692 8460
put 1693 8465
put 1694 8470
put 1695 8475
put 1696 8480
put 1697 8485
put 1698 8490
put 1699 8495
put 1700 8500
put 1701 8505
put 1702 8510
put 1703 8515
put 1704 8520
put 1705 8525
put 1706 8530
put 1707 8535
put 1708 8540
put 1709 8545
put 1710 8550
put 1711 8555
put 1712 8560
put 1713 8565
put 1714 8570
put 1715 8575
put 1716 8580
put 1717 8585
put 1718 8590
put 1719 8595
put 1720 8600
put 1721 8605
put 1722 8610
put 1723 8615
put 1724 8620
put 1725 8625
put 1726 8630
put 1727 8635
put 1728 8640
put 1729 8645
put 1730 8650
put 1731 8655
put 1732 8660
put 1733 8665
put 1734 8670
put 1735 8675
put 1736 8680
put 1737 8685
put 1738 8690
put 1739 8695
put 1740 8700
put 1741 8705
put 1742 8710
put 1743 8715
put 1744 8720
put 1745 8725
put 1746 8730
put 1747 8735
put 1748 8740
put 1749 8745
put 1750 8750
put 1751 8755
put 1752 8760
put 1753 8765
put 1754 8770
put 1755 8775
put 1756 8780
put 1757 8785
put 1758 8790
put 1759 8795
put 1760 8800
put 1761 8805
put 1762 8810
put 1763 8815
put 1764 8820
put 1765 8825
put 1766 8830
put 1767 8835
put 1768 8840
put 1769 8845
put 1770 8850
put 1771 8855
put 1772 8860
put 1773 8865
put 1774 8870
put 1775 8875
put 1776 8880
put 1777 8885
put 1778 8890
put 1779 8895
put 1780 8900
put 1781 8905
put 1782 8910
put 1783 8915
put 1784 8920
put 1785 8925
put 1786 8930
put 1787 8935
put 1788 8940
put 1789 8945
put 1790 8950
put 1791 8955
put 1792 8960
put 1793 8965
put 1794 8970
put 1795 8975
put 1796 8980
put 1797 8985
put 1798 8990
put 1799 8995
put 1800 9000
put 1801 9005
put 1802 9010
put 1803 9015
put 1804 9020
put 1805 9025
put 1806 9030
put 1807 9035
put 1808 9040
put 1809 9045
put 1810 9050
put 1811 9055
put 1812 9060
put 1813 9065
put 1814 9070
put 1815 9075
put 1816 9080
put 1817 9085
put 1818 9090
put 1819 9095
put 1820 9100
put 1821 9105
put 1822 9110
put 1823 9115
put 1824 9120
put 1825 9125
put 1826 9130
put 1827 9135
put 1828 9140
put 1829 9145
put 1830 9150
put 1831 9155
put 1832 9160
put 1833 9165
put 1834 9170
put 1835 9175
put 1836 9180
put 1837 9185
put 1838 9190
put 1839 9195
put 1840 9200
put 1841 9205
put 1842 9210
put 1843 9215
put 1844 9220
put 1845 9225
put 1846 9230
put 1847 9235
put 1848 9240
put 1849 9245
put 1850 9250
put 1851 9255
put 1852 9260
put 1853 9265
put 1854 9270
put 1855 9275
put 1856 9280
put 1857 9285
put 1858 9290
put 1859 9295
put 1860 9300
put 1861 9305
put 1862 9310
put 1863 9315
put 1864 9320
put 1865 9325
put 1866 9330
put 1867 9335
put 1868 9340
put 1869 9345
put 1870 9350
put 1871 9355
put 1872 9360
put 1873 9365
put 1874 9370
put 1875 9375
put 1876 9380
put 1877 9385
put 1878 9390
put 1879 9395
put 1880 9400
put 1881 9405
put 1882 9410
put 1883 9415
put 1884 9420
put 1885 9425
put 1886 9430
put 1887 9435
put 1888 9440
put 1889 9445
put 1890 9450
put 1891 9455
put 1892 9460
put 1893 9465
put 1894 9470
put 1895 9475
put 1896 9480
put 1897 9485
